SlateID,Site,ContestType,LineupNum,AvgProfit,AvgPayout,ROI,WinRate,Top10Rate,ITMRate,AvgRank,MedianRank,BestRank,WorstRank
25439,draftkings,classic,1146,-2.66,17.34,-13.32,0,0.02,15.79,2487,2471,7,4999
25439,draftkings,classic,4350,-2.67,17.33,-13.35,0,0.03,15,2692.9,2739,5,5000
25439,draftkings,classic,1326,-2.68,17.32,-13.4,0,0.03,14.56,2475,2455,4,4986
25439,draftkings,classic,288,-2.7,17.3,-13.5,0,0,16.13,2578.2,2594,18,4995
25439,draftkings,classic,3311,-2.71,17.29,-13.54,0,0.02,14.9,2767.8,2851,2,5001
25439,draftkings,classic,4365,-2.71,17.29,-13.57,0,0.02,15.94,2439.6,2455,7,4993
25439,draftkings,classic,2720,-2.73,17.27,-13.65,0,0.01,15.21,2466.5,2463,2,4994
25439,draftkings,classic,4157,-2.74,17.26,-13.68,0,0.03,15.76,2464.9,2460,8,4994
25439,draftkings,classic,2095,-2.78,17.22,-13.89,0,0,16.4,2409.9,2373,12,4998
25439,draftkings,classic,738,-2.78,17.23,-13.87,0,0.01,15.83,2516.3,2511,10,5001
25439,draftkings,classic,3335,-2.8,17.2,-13.99,0,0.06,13.63,2694.3,2765,4,4996
25439,draftkings,classic,3814,-2.8,17.2,-13.99,0,0,17,2303.4,2224,11,4987
25439,draftkings,classic,1860,-2.89,17.11,-14.45,0,0.04,13.94,2648.4,2696,3,5001
25439,draftkings,classic,4548,-2.9,17.1,-14.52,0,0.02,14.66,2551.8,2539,4,4998
25439,draftkings,classic,851,-2.9,17.1,-14.49,0,0.02,15.23,2425.2,2392,3,4996
25439,draftkings,classic,2493,-2.91,17.09,-14.53,0,0.05,14.56,2581.2,2594,4,4995
25439,draftkings,classic,4195,-2.91,17.09,-14.56,0,0.03,15.01,2483.6,2484,3,4988
25439,draftkings,classic,3526,-2.94,17.06,-14.69,0,0,17.64,2388.5,2315,17,4979
25439,draftkings,classic,4579,-2.95,17.05,-14.75,0,0.03,15.33,2580.3,2648,6,4992
25439,draftkings,classic,3047,-2.95,17.05,-14.77,0,0.01,16.22,2426.6,2380,10,4991
25439,draftkings,classic,1284,-2.97,17.03,-14.86,0,0.07,12.85,2879.6,3022,4,5001
25439,draftkings,classic,4877,-2.97,17.03,-14.86,0.01,0.02,13.09,2640.3,2680,1,4992
25439,draftkings,classic,2309,-2.98,17.02,-14.92,0.01,0.02,13.77,2663.7,2727,1,4998
25439,draftkings,classic,4671,-3,17,-15,0,0.03,14.16,2622.7,2682,3,4993
25439,draftkings,classic,805,-3.01,16.99,-15.07,0,0.01,14.93,2557,2598,7,4997
25439,draftkings,classic,4036,-3.02,16.98,-15.08,0,0.02,15.45,2510.7,2502,3,4997
25439,draftkings,classic,3048,-3.02,16.98,-15.1,0,0,17.55,2364,2282,19,4996
25439,draftkings,classic,4427,-3.03,16.97,-15.13,0.01,0.04,12.38,2888.3,3021,1,4999
25439,draftkings,classic,2715,-3.04,16.96,-15.21,0,0.01,15.52,2601.9,2645,7,5001
25439,draftkings,classic,4004,-3.04,16.96,-15.18,0,0.04,14.27,2603.2,2647,4,4998
25439,draftkings,classic,4517,-3.06,16.94,-15.28,0,0.01,16,2475.4,2471,10,4988
25439,draftkings,classic,4562,-3.06,16.94,-15.32,0,0.01,16.5,2480.4,2431,9,4996
25439,draftkings,classic,440,-3.07,16.93,-15.35,0,0.01,15.26,2508.8,2494,5,4996
25439,draftkings,classic,2467,-3.07,16.93,-15.36,0,0,17.53,2508.5,2459,49,4997
25439,draftkings,classic,123,-3.07,16.93,-15.35,0,0.02,16.62,2314.3,2257,6,4982
25439,draftkings,classic,1446,-3.1,16.9,-15.5,0,0.03,14.94,2641.5,2678,6,4999
25439,draftkings,classic,3661,-3.11,16.89,-15.54,0,0.04,13.77,2704.2,2781,3,5000
25439,draftkings,classic,2682,-3.12,16.88,-15.59,0,0.01,16.52,2485.5,2444,7,4999
25439,draftkings,classic,2643,-3.13,16.87,-15.67,0,0.02,13.49,2575.4,2594,2,5000
25439,draftkings,classic,4999,-3.14,16.86,-15.68,0,0.01,15.6,2631.5,2671,10,4992
25439,draftkings,classic,4992,-3.14,16.86,-15.7,0,0.01,15.05,2727,2793,7,5001
25439,draftkings,classic,3212,-3.16,16.84,-15.8,0,0.03,15.26,2563.7,2570,6,5000
25439,draftkings,classic,220,-3.17,16.83,-15.83,0,0.03,14.71,2645.6,2676,5,5001
25439,draftkings,classic,4516,-3.17,16.83,-15.83,0,0.02,15.76,2370.7,2325,8,4983
25439,draftkings,classic,1547,-3.18,16.82,-15.92,0,0.02,16.05,2460.3,2448,7,4998
25439,draftkings,classic,341,-3.18,16.82,-15.9,0,0.01,16.83,2407.4,2378,8,4994
25439,draftkings,classic,2230,-3.2,16.8,-15.98,0,0.06,13.28,2819.5,2935,3,5000
25439,draftkings,classic,2159,-3.22,16.78,-16.08,0,0.02,15.88,2503.5,2482,9,4988
25439,draftkings,classic,4656,-3.23,16.77,-16.15,0,0.02,15.78,2474.5,2453,9,5001
25439,draftkings,classic,3192,-3.23,16.77,-16.15,0,0,16.34,2401.2,2340,17,4992
